Strategy DNA,Total Amplifcation,Num Times Generated,Average Amplification
[TCP:options-sackok:]-tamper{TCP:options-altchksumopt:corrupt}-|,3.1950000000000003,3,1.0650000000000002
"[TCP:options-nop:]-duplicate(,fragment{tcp:-1:False})-|",2.919,3,0.973
"[TCP:options-nop:]-tamper{TCP:flags:replace:FA}(fragment{tcp:-1:False},)-|",19.009,3,6.336333333333333
[TCP:options-sack:]-fragment{ip:-1:False}-|,2.933,3,0.9776666666666666
"[TCP:options-nop:]-tamper{TCP:load:replace:}(fragment{tcp:-1:True},)-|",22.500000000000004,3,7.500000000000001
"[TCP:options-sack:]-tamper{TCP:flags:replace:FA}(duplicate,)-|",10.945,3,3.6483333333333334
[TCP:options-sackok:]-tamper{TCP:flags:replace:FA}-|,29.679999999999996,3,9.893333333333333
"[TCP:options-nop:]-tamper{TCP:flags:replace:FA}(duplicate,)-|",37.98199999999999,3,12.660666666666664
[TCP:options-nop:]-tamper{TCP:flags:replace:FA}-|,77.944,3,25.981333333333335
[TCP:window:30]-duplicate-|,-28.653000000000002,3,-9.551
[TCP:window:190]-fragment{tcp:-1:True}-|,-28.653,3,-9.551
[TCP:dataofs:5]-duplicate-|,-27.948,3,-9.316
"[TCP:options-nop:]-fragment{tcp:-1:False}(fragment{tcp:-1:True},)-|",1.754,3,0.5846666666666667
[TCP:flags:PA]-tamper{TCP:load:replace:}-|,19.8,3,6.6000000000000005
