Apr 16 23:51:37.459 [INFO] zmap: output module: csv
Starting module. Packet out size: 106
Apr 16 23:51:37.466 [INFO] recv: Data link layer Ethernet
 2:03 2% (2h05m left); send: 1610730 11.1 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (7 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:04 2% (2h05m left); send: 1622853 12.1 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (7 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:05 2% (2h05m left); send: 1635870 13.0 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (7 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:06 2% (2h05m left); send: 1647562 11.7 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:07 2% (2h05m left); send: 1661525 14.0 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:08 2% (2h05m left); send: 1674997 13.5 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:09 2% (2h05m left); send: 1688629 13.6 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:10 2% (2h05m left); send: 1701217 12.6 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:11 2% (2h05m left); send: 1715478 14.3 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:12 2% (2h05m left); send: 1730410 14.9 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:13 2% (2h05m left); send: 1743591 13.2 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:14 2% (2h05m left); send: 1755381 11.8 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
